Replacement,Key Word
Adele,Adele Adkins
Alessia Cara,Alessia Caracciolo
Anne-Marie,Anne-Marie Nicholson
Armando C. Pérez,Armando C. Perez
Artist Julius Dubose,Artist Dubose
Avicii,"Tim ""Avicii"" Bergling"
Bazzi,Andrew Bazzi
Belcalis Almánzar,Belcalis Almanzar
Benito Martínez,Benito Martinez
Beyoncé,Beyoncé Knowles
Ciara,Ciara Harris
Clifford Harris,Clifford Harris Jr.
DaBaby,"DaBaby, "
DaBaby,Lil Baby and DaBaby
DaBaby,Pooh Shiesty or DaBaby
Daughtry,Chris Daughtry
Dijon McFarlane,Dijon McFarlene
Doja Cat,Doja Cat and the Weeknd
Drake,Aubrey Drake Graham
Drake,Aubrey Graham
Dwayne Carter,Dwayne Carter Jr.
Ella Mai,Ella Mai Howell
Giveon,Giveon Evans
Halsey,"Ashley ""Halsey"" Frangipane"
Higgins,Jarad Higgins
Hozier,Andrew Hozier-Byrne
Jacob Kasher,Jacob Kasher Hindlin
Jacques Webster,Jacques Webster II
Jahron Braithwaite,Jahron Brathwaite
Jeremih,Jeremih Felton
Kendrick Lamar,Kendrick Lamar Duckworth
Kesha,Kesha Sebert
Khalid,Khalid Robinson
Kyle,Kyle Harvey
Lil Baby,Lil Baby and DaBaby
Lil Baby,Lil Baby and Lil Durk
Lil Durk,Lil Baby and Lil Durk
Max,Max Schneider
Michael Franti,Michael Franti & Spearhead
Michael Williams,Michael Williams II
Miguel,Miguel Pimentel
Mike Will Made It,"Michael ""Mike Will Made It"" Williams"
Naughty Boy,"Shahid ""Naughty Boy"" Khan"
Normani,Normani Kordei Hamilton
Omarion,Omarion Grandberry
Onika Maraj,Onika Maraj-Petty
Pooh Shiesty,Pooh Shiesty or DaBaby
Ruth B,Ruth Berhe
Ryan Lewis,Macklemore & Ryan Lewis
Selena Gomez,Selena Gomez & the Scene
Shawn Mendes,Mendes
Sia,Sia Furler
The Weeknd,Abel Tesfaye
Timbaland,"Tim ""Timbaland"" Mosley"
Timberlake,Justin Timberlake
Tinashe,Tinashe Kachingwe
Travis Scott,The Scotts (Travis Scott
Usher,Usher Raymond IV
Willie Maxwell,Willie Maxwell II
Ylvis,Bård Ylvisåker
Ylvis,Vegard Ylvisåker
Zac Brown,Zac Brown Band
Zacari,Zacari Pacaldo
Zayn,Zayn Malik
Akon,Aliaune 'Akon' Thiam
Amber,Marie- Claire Cremers (Amber)
Amerie,Amerie Rogers
Ashanti,Ashanti Douglas
Black Eyed Peas,The Black Eyed Peas
Bobby Simmons,Bobby Simmons Jr.
Bon Jovi,Jon Bon Jovi
Bow Wow,Lil' Bow Wow
Burruss,Kandi Burruss
Cornell Haynes,Cornell Haynes Jr.
Curtis Jackson,Curtis Jackson III
David Lee,David Lee Murphy
Diddy,P. Diddy
Diddy,"Sean ""Diddy"" Combs"
Dido,Dido Armstrong
Donald DeGrate,Donald DeGrate Jr.
Eamon,Eamon Doyle
Eric Benét,Eric Benét*
Frampton,Andrew Frampton
Frampton,Peter Frampton
Heavy D,Heavy D & the Boyz
James Smith,Trevor James Smith Jr.
K-Ci,K-Ci & JoJo
Kay Gee,"Kier ""Kay Gee"" Gist"
Kelis,Kelis Rogers-Jones
Lil Jon,Lil Jon & The East Side Boyz
Lil Jon,Lil Jon & the East Side Boyz
Lumidee,Lumidee Cedeño
M.I.A.,"Maya ""M.I.A."" Arulpragasam"
Manuel Seal,Manuel Seal Jr.
Ne-Yo,"Shaffer ""Ne-Yo"" Smith"
Pharrell,Pharrell Williams
Polow da Don,"Jamal ""Polow da Don"" Jones"
Pussycat Dolls,The Pussycat Dolls
Quickmix,"Frank ""Quickmix"" Hassas"
Seal,Manuel Seal
Seal,Manuel Seal Jr.
Snoop Dogg,Snoop Doggy Dogg
Static Major,"Stephen ""Static Major"" Garrett"
Sting,Sting (English)
Terry Lewis,Jimmy Jam and Terry Lewis
Todd Thomas,Speech (Todd Thomas)
Tom Petty,Tom Petty and the Heartbreakers
Trevor Smith,Trevor Smith Jr.
Usher,Usher Raymond
Usher Raymond,Usher Raymond IV
Van Halen,Eddie Van Halen
Vassal Benford,Vassal Benford III
Warren G,Warren Griffin
Warren G,Warren Griffin III
Warren Griffin,Warren Griffin III
William Ray Norwood,William Ray Norwood Jr.
